DienTich,City,District,MucGia,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward
76.0,79,771,18000000000.0,4.0,1,,6,3.0,2,2,2,27166
148.0,79,778,46000000000.0,8.0,1,18.0,7,5.0,4,4,2,27490
160.0,79,769,45000000000.0,8.0,1,,5,4.0,8,0,2,27091
50.0,48,491,3200000000.0,,,,3,,0,13,2,20225
94.0,48,492,5800000000.0,7.0,,,6,3.0,4,4,2,20257
100.0,10,88,5900000000.0,5.0,1,12.0,5,4.0,7,6,3,3006
145.0,79,786,3500000000.0,,1,,3,2.0,7,7,1,27661
110.0,79,769,23000000000.0,10.0,,,3,2.0,3,3,1,27088
114.0,74,718,9000000000.0,,,,7,4.0,5,5,1,25760
48.0,79,761,3670000000.0,4.0,1,3.0,5,2.0,2,2,2,26782
76.0,79,786,2400000000.0,,1,,3,1.0,2,1,1,27655
230.0,48,495,4099999999.9999995,,,,2,,6,3,2,20314
69.0,79,764,8900000000.0,,,,3,5.0,8,2,2,26887
80.0,79,777,9500000000.0,,1,,5,4.0,7,9,1,27451
52.7,48,493,2650000000.0,5.5,1,2.0,4,1.0,2,2,3,20272
100.0,10,88,6000000000.0,5.0,1,17.0,5,5.0,7,7,0,3006
95.0,75,731,2000000000.0,5.0,1,6.0,6,,3,2,2,26011
85.0,48,490,6700000000.0,5.0,1,5.5,8,3.0,3,3,2,20200
171.6,79,783,1050000000.0,6.0,1,6.0,5,,5,6,1,27556
100.0,48,495,6800000000.0,,,,5,3.0,2,10,1,20260
218.0,79,769,26000000000.0,8.0,1,3.3,6,4.0,6,3,2,27100
60.0,48,492,4850000000.0,4.0,1,6.0,2,2.0,3,3,1,20258
90.0,80,803,3070000000.0,,2,48.0,3,2.0,4,3,0,28012
200.0,79,762,9500000000.0,5.5,1,5.0,3,2.0,2,2,3,26827
225.0,80,803,10000000000.0,,2,48.0,3,2.0,4,3,3,28012
153.2,79,763,12000000000.0,6.5,1,8.0,3,2.0,2,2,3,26866
55.0,1,21,7500000000.0,5.5,1,4.0,3,5.0,7,7,2,602
54.0,1,6,23500000000.0,3.5,1,15.0,7,5.0,4,3,2,211
155.0,80,803,6300000000.0,,2,,3,,4,3,1,28012
67.0,48,490,3250000000.0,,,,5,,5,3,1,20200
52.0,79,767,4600000000.0,,,,5,4.0,2,3,2,27010
90.0,1,3,12800000000.0,4.0,1,2.5,3,5.0,4,4,3,109
93.0,79,767,15200000000.0,,1,20.0,7,1.0,1,1,1,27022
77.0,31,305,12500000000.0,5.0,1,13.0,6,4.0,4,4,2,11407
138.0,56,568,9100000000.0,6.0,1,7.0,7,,4,4,2,22327
600.0,48,494,22500000000.0,,,,6,2.0,4,6,2,20290
115.0,75,731,2900000000.0,5.0,2,6.0,6,2.0,4,2,2,25993
124.0,48,495,7000000000.0,5.0,1,10.5,2,3.0,3,2,2,20314
60.0,1,21,7500000000.0,6.0,1,4.0,6,5.0,9,5,2,602
102.5,48,493,8000000000.0,5.0,1,7.5,2,2.0,3,3,3,20275
95.0,1,5,15500000000.0,4.7,1,,7,4.0,4,4,2,175
70.0,79,764,6600000000.0,6.0,1,10.0,5,4.0,4,5,2,26875
68.0,31,305,9500000000.0,6.0,1,13.0,8,4.0,4,4,3,11405
132.0,79,772,20000000000.0,11.0,,,1,6.0,12,12,1,27223
300.0,79,776,32000000000.0,6.0,1,,7,7.0,6,0,1,27391
72.0,74,718,2350000000.0,,,4.0,1,,2,1,1,25741
37.0,1,2,32000000000.0,,1,12.0,1,4.0,4,2,2,43
70.0,48,490,3450000000.0,3.5,1,3.5,6,3.0,3,3,2,20200
68.0,79,765,4200000000.0,,1,4.0,4,,2,2,2,26944
100.0,80,794,3700000000.0,,1,,5,3.0,3,3,0,27700
102.0,48,493,4700000000.0,5.0,1,4.0,1,2.0,2,2,1,20272
34.0,1,8,4900000000.0,4.0,1,3.0,3,5.0,3,4,2,319
98.0,79,765,15790000000.0,,1,,1,3.0,3,3,1,26923
55.0,1,19,9000000000.0,,,,4,,3,5,1,632
